REPORTE DE LIBROS

CODIGO              TITULO                                                       AUTOR
IIM5175   Diamantes y pedernales                                      Jose Maria Arguedas           0
YDK7687   El otonio del patriarca                                     Gabriel Garcia Marquez        60
ZOY6470   El viejo y el mar                                           Hernest Hemingway             23
ETZ8565   Confesiones de una mascara                                  Yukio Mishima                 26
LQL0880   Contra el fascismo                                          Umberto Eco                   34
VFZ9435   El olor de la Edad Media                                    Javier Traite                 43
SFZ1256   La Iliada                                                   Homero                        32
EDQ0577   Las aventuras de Pinocho                                    Carlo Collodi                 25
YJI3961   Cien anios de soledad                                       Gabriel Garcia Marquez        42
VPN5351   El Amante                                                   Ana Maria Moix                26
PVS2464   Sapiens                                                     Yuval Noah Harari             18
DVL7760   Falco                                                       Arturo Perez-Reverte          54
QRH6838   Las cronicas de Narnia                                      C. S. Lewis                   38
LDL2628   Harry Potter y el caliz de fuego (Harry Potter 4)           J.K. Rowling                  2
SBU9053   Tierra arrasada                                             Alfredo Gonzalez Ruibal       32
ZJM1292   El suenio del celta                                         Mario Vargas Llosa            52
CRA4157   El forastero misterioso                                     Mark Twain                    39
RII8346   Las dos Dianas                                              Alejandro Dumas               22
JBR9372   El maestro de esgrima                                       Arturo Perez-Reverte          57
NEO9165   Emperador de Roma                                           Mary Beard                    64
TBZ2657   Olalla                                                      Robert Louis Stevenson        3
IBP7411   Nunca                                                       Ken Follett                   39
GPH1575   La gran aventura de los griegos                             Javier Negrete                3
XIU2628   Cabo Trafalgar                                              Arturo Perez-Reverte          17
DDT0017   Viaje al fin de la noche                                    Louis Ferdinand Celine        38
ILG7766   Iliada                                                      Homero                        5
HGQ0131   Odisea                                                      Homero                        20
HLB4548   Frankenstein o el moderno Prometeo                          Mary W. Shelley               18
SQB7146   Cronica de una muerte anunciada                             Gabriel Garcia Marquez        28
VHK9148   Historia y cronologia del mundo                             Isaac Asimov                  63
MVU0233   La conspiracioni                                            Dan Brown                     59
KWL0415   1923                                                        Roberto Villa Garcia          18
WPU8819   Tristam Shandy                                              Laurence Sterne               41
JTX5687   Veinte mil leguas de viaje submarino                        Julio Verne                   29
HCT8192   Diario                                                      Ana FranK                     61
OMN0252   Los hermanos Karamazov                                      Fiodor Dostoyevski            42
CKC4095   El Gran Gatsby                                              F. Scott Fitzgerald           21
JLQ6546   El retorno del Rey                                          J.R.R.Tolkien                 34
MSW8176   Todo se desmorona                                           Chinua Achebe                 23
TDY0497   La chica del tren                                           Paula Hawkins                 40
NBL8415   Espania con honra                                           Daniel Aquillue               46
IMC3155   Los pilares de la tierra                                    Ken Follett                   33
FWK6327   El doble                                                    Fiodor Dostoyevski            23
GQC1814   Apocalipticos e integrados                                  Umberto Eco                   25
PRD1648   Relato de un naufrago                                       Gabriel Garcia Marquez        10
SBF7018   El handicap de la vida                                      Rudyard Kipling               2
LVP3355   Las aventuras de Sherlock Holmes                            Arthur Conan Doyle            35
FBO8724   El pendulo de Foucault                                      Umberto Eco                   63
WCZ0845   El cementerio de Praga                                      Umberto Eco                   3
WOF6634   El problema final                                           Arturo Perez-Reverte          62
CUV7849   Ficciones                                                   Jorge Luis Borges             50
VMW6915   Travesuras de la ninia mala                                 Mario Vargas Llosa            6
MBQ9495   Tormenta de espadas                                         George R.R.Martin             23
LQA8555   Rimas y leyendas                                            Gustavo Adolfo Becquer        13
IMK4892   La tabla de Flandes                                         Arturo Perez-Reverte          17
QCA9584   Dr. Jekyll y Mr. Hyde                                       Robert Louis Stevenson        25
XJT3661   Las aventuras de Tom Sawye                                  Mark Twain                    63
THT4126   Harry Potter y las reliquias de la muerte (Harry Potter 7)  J. K. Rowling                 15
PZP7176   La caida de los gigantes                                    Ken Follett                   26
UQL8643   Dracula                                                     Bram Stoker                   22
RLQ7170   El tango de la guardia vieja                                Arturo Perez-Reverte          62
KTA8754   Ulises                                                      James Joyce                   20
TOJ1764   Ensayo sobre la ceguera                                     Jose Saramago                 37
GWE4133   El gato negro y otros cuentos                               Edgar Allan Poe               63
ZPD6557   El ruido y la furia                                         William Faulkner              8
IUG2294   El proceso                                                  Franz Kafka                   14
WGA2754   El club Dumas                                               Arturo Perez-Reverte          7
YJE2497   Progreso del peregrino                                      John Bunyan                   65
XCC4070   El italiano                                                 Arturo Perez-Reverte          13
OBD2849   El invierno del mundo                                       Ken Follett                   49
UCJ9882   El reino de este mundo                                      Alejo Carpentier              17
QVU3526   Vidas intrepidas                                            Julio Albi de la Cuesta       45
VTY5195   Un asunto de honor                                          Arturo Perez-Reverte          48
FKK6524   Los renglones torcidos de Dios                              Torcuato Luca de Tena         36
KPE7420   Jane Eyre                                                   Charlotte Brontë              30
MWB2923   Mudlarking                                                  Lara Maiklem                  54
ISY5671   Harry Potter y la piedra filosofal (Harry Potter 1)         J. K. Rowling                 23
NBE1339   Palmeras en la nieve                                        Luz Gabas                     20
JHP0390   El conde de Montecristo                                     Alexandre Dumas               5
OWU1533   Cuatro principes                                            John Julius Norwich           30
SFR1226   Ana la de las tejas verdes                                  Lucy Maud Montgomery          1
HRT0664   Los funerales de la Mama Grande                             Gabriel Garcia Marquez        41
HPP3360   El pintor de batallas                                       Arturo Perez-Reverte          49
DND9446   Lo que el viento se llevo                                   Margaret Mitchell             58
LJD9991   Baudolino                                                   Umberto Eco                   5
XIU6076   Rebelion en la granja                                       George Orwell                 36
PWX7633   La tia Julia y el escribidor                                Mario Vargas Llosa            40
UXZ2187   Los 7 habitos de la gente altamente efectiva                Stephen R. Covey              31
UEJ1235   Grandes esperanzas                                          Charles Dickens               60
DDQ0721   En busca del tiempo perdido                                 Marcel Proust                 46
HWM4049   Romper el circulo                                           Colleen Hoover                57
EWI3090   La seniora Dalloway                                         Virginia Woolf                15
JZC7527   El tambor de hojalata                                       Gunter Grass                  0
WYE2119   El asedio                                                   Arturo Perez-Reverte          41
YKQ9278   Alicia en el pais de las maravillas                         Lewis Carroll                 22
ZNF2241   El extranio caso del Dr. Jekyll y Mr. Hyde                  Robert Louis Stevenson        47
CTW5846   El medievo cristiano                                        Mario Merlino                 0
FWP8469   Justine o los infortunios                                   Charles Dickens               30
CRY6839   Ricardo III                                                 William Shakespeare           35
WMN3648   Pasaje a la India                                           E. M. Forster                 2
QBL9575   Los miserables                                              Victor Hugo                   50
VOI0019   El evangelio según Jesucristo                               Jose Saramago                 51
TMR5068   Los tres mosqueteros                                        Alejandro Dumas               51
RWW7975   El nombre de la rosa                                        Umberto Eco                   41
LJE6687   El codigo Da Vinci                                          Dan Brown                     33
PPI9259   Revolucion                                                  Arturo Perez-Reverte          53
ZYF6683   Harry Potter y la Orden del Fenix ( Harry Potter 5)         J. K. Rowling                 25
GKG6581   Hombres buenos                                              Arturo Perez-Reverte          43
WWT1581   La piel del tambor                                          Arturo Perez-Reverte          53
CMP1150   Don Quijote de la Mancha                                    Miguel de Cervantes           24
CPE5718   Paris era una fiesta                                        Hernest Hemingway             48
SHF2360   Un dia de colera                                            Arturo Perez-Reverte          10
ETV5056   Moby Dick                                                   Herman Melville               31
USE5598   Fortaleza digitali                                          Dan Brown                     36
TVR7016   El corazon de las tinieblas                                 Joseph Conrad                 30
BSX2922   Una historia de Espania                                     Arturo Perez-Reverte          0
GXB5722   Cumbres borrascosas                                         Emily Brontë                  45
ZLE2920   Historia de la Edad Media                                   Indro Montanelli              26
MNL3677   El Hobbit                                                   J.R.R. Tolkien                38
ZAL2738   1984                                                        George Orwell                 32
PQZ1316   La Eneida                                                   Virgilio                      42
DDU0764   Dioses tumbas y sabios                                      C. W. Ceram                   6
EEJ4830   El Principito                                               Antoine de Saint-Exupery      49
DPZ8059   El hombre que pudo reinar                                   Rudyard Kipling               20
JJV7549   Los hombres que no amaban a las mujeres                     Stieg Larsson                 19
JXK3142   En el camino                                                Jack Kerouac                  43
USM9579   El perfume                                                  Patrick Suskind               20
JGG5049   El eterno marido                                            Fiodor Dostoyevski            51
MIK5358   La transformacion del mundo                                 Jürgen Osterhammel            30
BDK4183   La isla del tesoro                                          Robert Louis Stevenson        28
ECT0289   Juego de tronos                                             George R.R.Martin             8
DVR5984   Mil soles esplendidos                                       Khaled Hosseini               21
EBE0042   Capitanes intrepidos                                        Rudyard Kipling               39
CXW5879   Los barcos se pierden en tierra                             Arturo Perez-Reverte          49
